记录日期,订单号,订单号查重,客户订单总数,物流状态,是否收到退货/退货单据,是否退运费,是否退运费险,退款原因分类,具体操作要求,最终退款金额（美元）,退款日期,创建人,备注,父记录
2025/11/11,LC8111450,,,发货已拦截,否,退运费,退运费险,订单异常/取消/修改订单,整单全退,98.31,2025/11/12,兰婷,,
2025/11/11,LC8108844,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%：
LWS-MDD50-Stripe-XL",39.54,2025/11/12,兰婷,,
2025/11/11,LC8109610,,,已发货,是,不退运费,不退运费险,产品问题,"退 £73.00 
MXD64-RaspberryRed-L",96.01,2025/11/12,DiningJia(贾迪宁）,£73.00 GBP,
2025/11/12,LC8111555,,,未发货,否,不退运费,不退运费险,券/折扣问题,退差价 27.27刀,27.27,2025/11/13,陈楚文,,
2025/11/12,LC8111546,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,111.68,2025/11/13,陈楚文,,
2025/11/12,LC8111538,,,未发货,否,不退运费,不退运费险,券/折扣问题,"1件退20%
MDD139-OliveMist-S",17.98,2025/11/13,高慧慧,,
2025/11/12,LC8107558,,,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
LOT22-EspressoBrown-L
T57-EspressoBrown-L
",49.24,2025/11/13,陈楚文,,
2025/11/12,LC8105571,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,116.91,2025/11/13,陈楚文,,
2025/11/12,LC8109385,,,已发货,否,不退运费,不退运费险,产品问题,1件退40%,32.75,2025/11/13,高慧慧,$45.90 CAD,
2025/11/12,LC8109992,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,80.91,2025/11/13,高慧慧,,
2025/11/12,LC8107820,,,已发货,是,不退运费,不退运费险,产品问题,"3件退全款：
LWS-PT21TBL-M
OT33-SunsetPlaid-M
OT48-InkStripe-M",216.63,2025/11/13,陈楚文,,
2025/11/12,LC8109663,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
PT57-EspressoBrown-S",27.64,2025/11/13,陈楚文,$38.72 CAD,
2025/11/12,LC8108507,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,80.35,2025/11/13,高慧慧,£61.20 GBP,
2025/11/12,LC8108747,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MXD64-NavyBlue-XL *2",156.46,2025/11/13,陈楚文,,
2025/11/12,LC8109042,,,已发货,否,不退运费,不退运费险,产品问题,1件退40%,35.96,2025/11/13,高慧慧,,
2025/11/12,LC8109064,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,159.8,2025/11/13,陈楚文,,
2025/11/12,LC8107503,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,166.32,2025/11/13,陈楚文,,
2025/11/12,LC8106289,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LOT16-CocoaStripe-S
",53.91,2025/11/13,陈楚文,,
2025/11/13,LC8111623,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退,80.59,2025/11/13,DiningJia(贾迪宁）,$112.90 CAD,
2025/11/13,LC8108630,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
",107.82,2025/11/13,DiningJia(贾迪宁）,,
2025/11/13,LC8109888,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LWS-OT9BL-L",69.41,2025/11/14,陈楚文,$106.19 AUD,
2025/11/13,LC8110487,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,62.26,2025/11/14,高慧慧,$95.40 AUD,
2025/11/13,LC8109641,单号登记重复，请检查,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
ACC-Scarf18-Violet-One Size",23.92,2025/11/14,高慧慧,,
2025/11/13,LC8106681,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,,,高慧慧,拒付未结，客户发起了总额为 $197.80 的退款，请客服处理,
2025/11/13,LC8108098,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,46.96,2025/11/14,高慧慧,£35.70 GBP,
2025/11/13,LC8104572,,,已发货,否,退运费,退运费险,物流问题,退整单,342.84,2025/11/14,高慧慧,,
2025/11/13,LC8107371,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,65.46,2025/11/14,陈楚文,$100.30 AUD,
2025/11/13,LC8110879,,,未发货,否,不退运费,不退运费险,缺货问题,1件退10%,7.64,2025/11/14,陈楚文,,
2025/11/13,LC8109136,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,101.28,2025/11/14,高慧慧,£77.00 GBP,
2025/11/14,LC8103681,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
LWS-TA21LPK-M",23.96,2025/11/15,陈楚文,,
2025/11/14,LC898989,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LWS-MDD53-DuskBlue-L
OT33-SunsetPlaid-XL",148.59,2025/11/15,陈楚文,,
2025/11/14,LC8111824,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单取消退款,118.11,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8111745,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单取消退款,86.32,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8108838,,,已发货,是,不退运费,不退运费险,产品问题,"退2件全款 
LOT17- DarkRed-XL
共$102.15",102.15,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8107145,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,89.9,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8110038,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,89.91,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8111762,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,整单退款,86.31,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8106993,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,96.19,2025/11/15,DiningJia(贾迪宁）,€82.76 EUR,
2025/11/14,LC8111770,,,未发货,否,不退运费,不退运费险,券/折扣问题,退$5.99 折扣差价,5.99,2025/11/15,DiningJia(贾迪宁）,,
2025/11/14,LC8104459,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
OT57-IceBlue-XL",53.52,2025/11/15,DiningJia(贾迪宁）,,
2025/11/15,LC8110314,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
LWS-SHT32DYG-L",23,2025/11/16,兰婷,,
2025/11/15,LC8105177,,,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
ACC-Scarf05-AmberStripe-One Size
JK15-TwilightBlue-L",52.84,2025/11/16,兰婷,£40.12 GBP,
2025/11/15,LC8108882,,,已发货,否,不退运费,不退运费险,缺货问题,发货太慢退15刀,15,2025/11/16,兰婷,,
2025/11/15,LC8109814,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,134.8,2025/11/16,兰婷,,
2025/11/15,LC8107644,,,发货已拦截,否,退运费,退运费险,订单异常/取消/修改订单,退整单,106.24,2025/11/16,兰婷,,
2025/11/15,LC8108291,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,77.05,2025/11/16,兰婷,£58.50 GBP,
2025/11/15,LC8109641,单号登记重复，请检查,,已发货,是,不退运费,不退运费险,产品问题,"1件退16刀
ACC-Scarf30-LavenderPrint-One Size",16,2025/11/16,兰婷,,
2025/11/15,LC8109479,,,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
CT04-EspressoBrown-XXL
MXD55-Coffee-XXL",99.41,2025/11/16,兰婷,lei434.86 RON,
2025/11/15,LC8111879,,,发货已拦截,否,退运费,退运费险,订单异常/取消/修改订单,整单全退,138.92,2025/11/16,DiningJia(贾迪宁）,,
2025/11/16,LUK2338,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
OT53-OpticWhite-M",74.87,2025/11/17,兰婷,£56.90 GBP,
2025/11/16,LC8109432,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
ESW15-PastelPink-M",69.9,2025/11/17,兰婷,,
2025/11/16,LC8108075,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MDD133-RaspberryRed-L",89.91,2025/11/17,兰婷,,
2025/11/16,LC8110966,单号登记重复，请检查,,已发货,否,不退运费,不退运费险,缺货问题,退EPT01-CharcoalGrey-M的15% $8.99,8.99,2025/11/17,DiningJia(贾迪宁）,,
2025/11/16,LC8108624,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD64-Coffee-XL",85.38,2025/11/17,兰婷,£64.80 GBP,
2025/11/17,LC8105979,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,84.9,2025/11/18,高慧慧,,
2025/11/17,LC8109758,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
LOT04-CharcoalGrey-S
",23.96,2025/11/18,高慧慧,,
2025/11/17,LC8104783,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LFT01-Khaki-M",94.9,2025/11/18,陈楚文,,
2025/11/17,LC8105593,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
OT38-MellowYellow-M",76.41,2025/11/18,陈楚文,,
2025/11/17,LC8107639,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MDD98-CharcoalBlack-M
",99.34,2025/11/18,高慧慧,$153.00 AUD,
2025/11/17,LC8107271,,,已发货,否,不退运费,不退运费险,产品问题,"1件退30%
LWS-PAJ01-CloudGrey-Tops-S",20.97,2025/11/18,高慧慧,,
2025/11/17,LC8109810,,,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
LWS-OT14-White-M
LWS-OT18-Stripe-L",53.76,2025/11/18,高慧慧,,
2025/11/17,LC8111734,,,未发货,否,退运费,退运费险,订单异常/取消/修改订单,整单退款,109.99,2025/11/18,DiningJia(贾迪宁）,€94.90 EUR,
2025/11/17,LC8111447,,,未发货,否,不退运费,不退运费险,缺货问题,退 MXD70-DeepOlive-XXL,79.92,2025/11/18,DiningJia(贾迪宁）,,
2025/11/17,LC8110555,,,未发货且标记取消,否,退运费,退运费险,缺货问题,整单退,112.8,2025/11/18,DiningJia(贾迪宁）,,
2025/11/17,LC8111755,,,未发货且标记取消,否,退运费,退运费险,缺货问题,整单退,109.8,2025/11/18,DiningJia(贾迪宁）,,
2025/11/17,LC8110838,,,未发货且标记取消,否,退运费,退运费险,缺货问题,"整单退
退到credit 那里",186.1,2025/11/18,DiningJia(贾迪宁）,,
2025/11/18,LC8110910,,,未发货且标记取消,否,退运费,退运费险,缺货问题,整单退,162.84,2025/11/19,DiningJia(贾迪宁）,,
2025/11/18,LC8108564,,,已发货,是,不退运费,不退运费险,产品问题,"5件退全款
LWS-MDD41GY-L
LWS-OT32PP-L
SHT45-Chocolate-L
OT25-MineralBlue-L
LOT19-Coffee-L",318.8,2025/11/19,兰婷,,
2025/11/18,LC8112245,单号登记重复，请检查,,未发货,否,不退运费,不退运费险,券/折扣问题,"2件退15%
ESW18-MutedKhaki-S
ESW18-CocoaBrown-S
",14.97,2025/11/19,兰婷,,
2025/11/18,LC8109496,,,已发货,是,不退运费,不退运费险,产品问题,3件退全款,199.7,2025/11/19,高慧慧,,
2025/11/18,LC8109971,,,未发货且标记取消,否,退运费,退运费险,缺货问题,整单退,146.92,2025/11/19,高慧慧,€126.85 EUR,
2025/11/18,LC8111574,,,未发货,否,不退运费,不退运费险,缺货问题,2件退15%,25.62,2025/11/19,高慧慧,,
2025/11/18,LC8108688,,,已发货,否,不退运费,不退运费险,产品问题,1件退40%,52.67,2025/11/19,高慧慧,$74.00 CAD,
2025/11/18,LC8110316,,,已发货,是,不退运费,不退运费险,产品问题,4件退全款,391.68,2025/11/19,陈楚文,,
2025/11/18,"LC8105584
",,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
JK15-TwilightBlue-L",33.25,2025/11/19,陈楚文,,
2025/11/18,LC8109804,,,已发货,否,不退运费,不退运费险,瑕疵问题,"1件退全款
LFT01-Khaki-L",82.03,2025/11/19,高慧慧,$114.75 CAD,
2025/11/18,LC8108236,,,已发货,是,不退运费,不退运费险,产品问题,3件退全款,259.7,2025/11/19,陈楚文,,
2025/11/18,LC8111032,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,87.15,2025/11/19,高慧慧,kr826.20 SEK,
2025/11/18,LC8108359,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LOT18-Olive-L",54.6,2025/11/19,高慧慧,kr517.50 SEK,
2025/11/18,LC8108772,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,75.9,2025/11/19,兰婷,,
2025/11/18,LC8110079,,,已发货,否,不退运费,不退运费险,产品问题,"2件退40%
MDD146-NavyBlue-L
MDD98-CharcoalBlack-L",66.8,2025/11/19,兰婷,kr430.72 DKK,
2025/11/19,LC8110004 ,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,49.9,2025/11/20,陈楚文,,
2025/11/19,LC8109269,,,已发货,否,不退运费,不退运费险,产品问题,1件退40%,27.96,2025/11/20,陈楚文,,
2025/11/19,LC8109340,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
LWS-OT17-Periwinkle-S",58.41,2025/11/20,陈楚文,$89.74 AUD,
2025/11/19,LC8112090,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,718.04,2025/11/20,陈楚文,,
2025/11/19,LC8111235,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,137.38,2025/11/20,陈楚文,$193.00 CAD,
2025/11/19,LC8106673,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MDD105-Khaki-M
MXD57-Olive-M",229.8,2025/11/20,高慧慧,,
2025/11/19,LC8112407,,,未发货,否,不退运费,不退运费险,券/折扣问题,"1件退全款
ACC-Scarf08-Red-One Size",23.92,2025/11/20,陈楚文,,
2025/11/19,LC8111437,,,未发货且标记取消,否,退运费,退运费险,缺货问题,退整单,186.42,2025/11/20,陈楚文,⁠$261.90 CAD,
2025/11/19,LC8111205,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,87.8,2025/11/20,陈楚文,,
2025/11/19,LC8110995,,,未发货且标记取消,否,退运费,退运费险,缺货问题,退整单,100.8,2025/11/20,陈楚文,,
2025/11/19,LC8110130,单号登记重复，请检查,,未发货且标记取消,否,不退运费,不退运费险,缺货问题,"1件退全款
LOT34-NavyBlue-L",61.21,2025/11/20,高慧慧,⁠$86.00 CAD,
2025/11/19,LC8106040,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MXD63-Brown-XXL
LWS-SHT32DYG-XXL",139.12,2025/11/20,高慧慧,lei 613.70 RON,
2025/11/19,LC8109909,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,157.71,2025/11/20,陈楚文,$243.27 AUD,
2025/11/20,LC8109409,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,89.9,2025/11/21,陈楚文,,
2025/11/20,LC8106426,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,76.41,2025/11/21,高慧慧,,
2025/11/20,LC8109184,,,已发货,是,不退运费,不退运费险,产品问题,9件退全款,578.88,2025/11/21,高慧慧,,
2025/11/20,LC8108171,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
 MXD57-Olive-M
MDD125-MutedSage-M",137.11,2025/11/21,高慧慧,,
2025/11/20,LC8109466,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,179.8,2025/11/21,陈楚文,,
2025/11/20,LC8109838,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
ESW21-Avocado-L",51.05,2025/11/21,陈楚文,£39.00 GBP,
2025/11/20,LC8110133,,,已发货,是,不退运费,不退运费险,产品问题,3件退全款,227.76,2025/11/21,陈楚文,,
2025/11/20,LC8110109,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD60-CharcoalBlack-XL",95.92,2025/11/21,陈楚文,,
2025/11/20,LC8110124,,,已发货,是,不退运费,不退运费险,产品问题,"7件退全款
PT46-IndigoDenim-L
PT49-OpticWhite-L
PT49-OpticWhite-XL
JK23-IndigoDenim-XXL
VT07-IndigoDenim-XXL
VT07-IndigoDenim-XL
JK23-IndigoDenim-XL",645.04,2025/11/21,陈楚文,,
2025/11/20,LC8108130,,,已发货,是,不退运费,不退运费险,产品问题,"6件退全款
PT39-OpticWhite-XL
SHT56-HazeBlue-L
LWS-SHT39-SunOrange-XXL
TA13-OpticWhite-L
ACC-Scarf19-TangerineStripe-One Size
JK22-Khaki-L",362.8,2025/11/21,陈楚文,,
2025/11/20,LC8106356,,,已发货,是,不退运费,不退运费险,产品问题,"3件退全款
LOT21-MerlotMystique-L
MXD63-Brown-L
LOT22-EspressoBrown-L
",175.76,2025/11/21,陈楚文,,
2025/11/20,LC8109584,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,79.11,2025/11/21,陈楚文,,
2025/11/20,LC8110113,,,已发货,是,不退运费,不退运费险,产品问题,"5件退全款
PT39-OpticWhite-M
PT45-BabyBlue-M
MDD115-SilenceBlue-M
LT1-Rosewood-M
LWS-PT9NBL-M
",381.01,2025/11/21,陈楚文,£291.20 GBP,
2025/11/20,LC8109572,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,26.91,2025/11/21,陈楚文,,
2025/11/20,LC8102550,单号登记重复，请检查,,已发货,是,不退运费,不退运费险,产品问题,"5件退全款
OT56-AvocadoGreen-S
PT46-IndigoDenim-M
SHT47-OpticWhite-M
OT63-AvocadoGreen-M
LOT14-NavyBlue-M

",328.96,2025/11/21,陈楚文,,
2025/11/20,LC8109377,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,85.41,2025/11/21,陈楚文,,
2025/11/20,LC8107512,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,109.9,2025/11/21,陈楚文,,
2025/11/20,LC8108852,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,164.8,2025/11/21,陈楚文,,
2025/11/20,LC8107586,,,已发货,是,不退运费,不退运费险,产品问题,4件退全款,339.84,2025/11/21,陈楚文,,
2025/11/20,LC8107975,,,已发货,是,不退运费,不退运费险,产品问题,4件退全款,360.6,2025/11/21,陈楚文,,
2025/11/20,LC8107569,,,已发货,是,不退运费,不退运费险,产品问题,3件退全款,317.98,2025/11/21,陈楚文,"Kč 6,669.90 CZK",
2025/11/20,LC8107613,,,已发货,是,不退运费,不退运费险,产品问题,"4件退全款
LWS-PT21LDGY-L
OT56-DoveBlue-L
JK22-Khaki-L
OT10-MistBlue-L",292.14,2025/11/21,陈楚文,,
2025/11/20,LC8108119,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,53.91,2025/11/21,陈楚文,,
2025/11/20,LC8106738,,,已发货,是,不退运费,不退运费险,产品问题,5件申请退货退全款,413.5,2025/11/21,陈楚文,,
2025/11/20,LC8106832,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
PT57-EspressoBrown-L",76.41,2025/11/21,陈楚文,,
2025/11/20,LC8112273,,,发货已拦截,是,退运费,退运费险,订单异常/取消/修改订单,退整单,302.6,2025/11/21,陈楚文,,
2025/11/20,LC8108211,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
JK27-CharcoalGrey-L
LOT05-NavyBlue-XL",119.48,2025/11/21,高慧慧,£91.32 GBP,
2025/11/20,LC8110908,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,91.42,2025/11/21,高慧慧,£70.00 GBP,
2025/11/21,LC8112574,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,87.8,2025/11/22,陈楚文,,
2025/11/21,LC8112589,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,126.8,2025/11/22,陈楚文,,
2025/11/21,LC8112352,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,145.2,2025/11/22,陈楚文,,
2025/11/21,LC8111544,,,已发货,是,不退运费,不退运费险,产品问题,"4件退全款
MDD97-Lavender-S
MDD83-PastelPink-S
MDD100-DarkPurple-S
MDD98-BabyBlue-S",375.26,2025/11/22,陈楚文,$528.80 CAD,
2025/11/21,LC8111387,单号登记重复，请检查,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
MXD36-VerdantGreen-S
MXD35-VerdantGreen-S",199.83,2025/11/22,陈楚文,$281.60 CAD,
2025/11/21,LC8111387,单号登记重复，请检查,,未发货且标记取消,否,不退运费,不退运费险,缺货问题,"4件退全款
MDD136-NavyBlue-S
MDD145-BurgundyRed-S
MXD70-DeepOlive-S
MXD56-NavyBlue/BurgundyRed-S",385.48,2025/11/22,陈楚文,$543.20 CAD,
2025/11/21,LC8109917,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款 
AUD$264.25
LWS-OT9DNBL-M
LWS-MDD141PP-XL",170.43,2025/11/22,DiningJia(贾迪宁）,$264.25 AUD,
2025/11/21,LC8109312,,,已发货,是,不退运费,退运费险,产品问题,"1件退全款，运费险也退€73.46
",84.61,2025/11/22,DiningJia(贾迪宁）,€73.46 EUR,
2025/11/21,LC8106575,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
$53.91
LOT22-EspressoBrown-L",53.91,2025/11/22,DiningJia(贾迪宁）,,
2025/11/22,LC8104736,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
LOT12-Ruby-XL
LOT14-NavyBlue-XL",89.09,2025/11/23,兰婷,,
2025/11/22,LC8109065,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款 
MXD64-RaspberryRed-XXL",86.07,2025/11/23,兰婷,£65.70 GBP,
2025/11/22,LC8111934,,,未发货,否,退运费,不退运费险,缺货问题,退运费9.9刀,9.9,2025/11/23,兰婷,,
2025/11/22,LC8109865,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,101.98,2025/11/23,兰婷,,
2025/11/22,LC8112240,,,发货已拦截,否,退运费,退运费险,订单异常/取消/修改订单,退整单,106.99,2025/11/23,兰婷,€92.90 EUR,
2025/11/22,LC8107875,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
PT58-NavyBlue-S",67.92,2025/11/23,兰婷,,
2025/11/22,LC8110167,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,207.84,2025/11/23,兰婷,,
2025/11/22,LC8110177,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,155.84,2025/11/23,兰婷,,
2025/11/22,LC8111844,,,未发货,否,不退运费,不退运费险,券/折扣问题,"1件退30%
LOT42-Coffee-XL",16.89,2025/11/23,兰婷,lei74.64 RON,
2025/11/23,LC8109864,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
ESW13-Beige-S",74.9,2025/11/24,兰婷,,
2025/11/23,LC8111640,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
MDD135-NavyBlue-M",35.96,2025/11/24,兰婷,,
2025/11/24,LC8112949,,,未发货且标记取消,否,退运费,退运费险,订单异常/取消/修改订单,退整单,93.19,2025/11/25,陈楚文,€80.91 EUR,
2025/11/24,LC8111203,,,未发货且标记取消,否,不退运费,不退运费险,订单异常/取消/修改订单,"1件退全款
ACC-ORG10-PeachOolong-OneSize",3.93,2025/11/25,陈楚文,£3.00 GBP,
2025/11/24,LC8112385,,,未发货且标记取消,否,不退运费,不退运费险,缺货问题,"5件退全款
ESW07-CharcoalBlack-M
ESW21-Avocado-M
ESW21-CocoaBrown-M
ESW21-ArmyGreen-M
ESW16-Walnut-M",316.16,2025/11/25,高慧慧,€274.75 EUR,
2025/12/15,LC8109727,单号登记重复，请检查,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD57-NavyBlue-M",,,陈楚文,,
2025/11/24," LC8113050",,,未发货,否,退运费,不退运费险,订单异常/取消/修改订单,退运费,9.83,2025/11/25,高慧慧,£7.50 GBP,
2025/11/24," LC8113052",,,未发货,否,退运费,不退运费险,订单异常/取消/修改订单,退运费,9.83,2025/11/25,高慧慧,£7.50 GBP,
2025/11/24,LC8106490,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,170.82,2025/11/25,陈楚文,,
2025/11/24,LC8107596,,,已发货,是,不退运费,不退运费险,产品问题,2件退全款,149.16,2025/11/25,陈楚文,£113.90 GBP,
2025/11/24,LC8111076,,,已发货,是,不退运费,不退运费险,产品问题,"1件退全款
MXD56-BurgundyRed-M",80.23,2025/11/25,高慧慧,kr 765.90 SEK,
2025/11/25,LC8111859,,,未发货,否,退运费,退运费险,缺货问题,退整单,97.82,2025/11/26,陈楚文,,
2025/11/25,LC8108908,单号登记重复，请检查,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
MXD64-Coffee-M",32.27,2025/11/26,高慧慧,,
2025/11/25,LC8111819,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,93.9,2025/11/26,高慧慧,,
2025/11/25,LC8108416,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
 LOT18-NavyBlue-M",20.37,2025/11/26,高慧慧,,
2025/11/25,LC8107566,,,已发货,否,不退运费,不退运费险,产品问题,"1件退40%
LOT22-EspressoBrown-L",23.18,2025/11/26,陈楚文,$32.68 CAD,
2025/11/25,LC874634,,,已发货,是,不退运费,不退运费险,产品问题,"2件退全款
OT43-SunOrange-M
LWS-OT14-White-M",134.8,2025/11/26,高慧慧,,
2025/11/25,LC8111053 ,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,85.41,2025/11/26,陈楚文,,
2025/11/25,LUK2339,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,94.95,2025/11/26,陈楚文,£72.11 GBP,
2025/11/25,LC8107552,,,已发货,是,不退运费,不退运费险,产品问题,1件退全款,68.31,2025/11/26,高慧慧,,
